State,City,,Population1,"Violent 
crime",Murder,Rape2,Robbery,"Aggravated 
assault","Property 
crime",Burglary,"Larceny-
theft","Motor 
vehicle 
theft",Arson3
,,2018,,"5,129",68,766,"1,367","2,928","23,599","6,152","13,414","4,033",51
,NORTH LAS VEGAS,2017,"242,537","1,189",11,56,253,869,"3,007","1,150","1,235",622,3
,,2018,,"1,148",13,74,202,859,"2,774",693,"1,467",614,7
,RENO,2017,"248,531",800,11,61,176,552,"3,528",666,"2,154",708,7
,,2018,,759,2,89,140,528,"3,088",484,"2,082",522,6
NEW HAMPSHIRE,MANCHESTER,2017,"110,655",348,1,44,83,220,"1,431",218,"1,116",97,12
,,2018,,317,0,35,65,217,"1,303",154,"1,072",77,9
NEW JERSEY,EDISON TOWNSHIP,2017,"102,699",59,0,3,28,28,608,97,454,57,4
,,2018,,52,1,2,18,31,564,85,439,40,2
,ELIZABETH,2017,"129,726",480,2,19,235,224,"2,030",308,"1,330",392,5
,,2018,,395,3,23,156,213,"1,927",297,"1,227",403,5
,LAKEWOOD TOWNSHIP,2017,"102,759",51,1,2,20,28,426,114,293,19,2
,,2018,,48,0,1,5,42,369,72,270,27,5
,NEWARK,2017,"283,673","1,205",31,51,495,628,"3,020",570,"1,414","1,036",29
,,2018,,999,36,74,331,558,"2,877",431,"1,297","1,149",25
,PATERSON,2017,"147,690",484,14,18,228,224,"1,750",550,828,372,8
,,2018,,494,4,24,229,237,"1,825",384,"1,198",243,4
,WOODBRIDGE TOWNSHIP,2017,"102,129",48,1,4,27,16,727,111,567,49,1
,,2018,,64,0,4,15,45,647,65,543,39,4
NEW MEXICO,LAS CRUCES4,2017,"102,350",118,6,25,36,51,"2,279",439,"1,703",137,
,,2018,,194,3,18,19,154,"1,810",267,"1,418",125,3
NEW YORK,AMHERST TOWN,2017,"121,150",63,0,5,23,35,915,70,826,19,2
,,2018,,79,0,12,25,42,780,88,679,13,1
,BUFFALO,2017,"256,169","1,207",25,72,411,699,"4,434",987,"3,101",346,90
,,2018,,"1,289",24,92,416,757,"4,504","1,052","2,986",466,77
,NEW YORK,2017,"8,616,333","22,374",136,"1,122","6,607","14,509","57,556","5,296","49,711","2,549",
,,2018,,"22,429",148,"1,452","6,223","14,606","59,977","5,086","52,427","2,464",
,ROCHESTER,2017,"208,591",902,11,65,350,476,"3,742",617,"2,812",313,55
,,2018,,742,12,66,239,425,"3,153",511,"2,374",268,30
,SYRACUSE,2017,"143,069",499,9,52,141,297,"2,129",498,"1,464",167,28
,,2018,,405,9,43,107,246,"1,874",331,"1,350",193,18
,YONKERS,2017,"201,554",406,4,17,118,267,942,168,690,84,8
,,2018,,370,0,16,108,246,839,136,630,73,2
NORTH CAROLINA5,CARY,2017,"166,986",,0,,23,31,828,131,672,25,7
,,2018,,,0,,22,42,779,137,624,18,3
,CHARLOTTE-MECKLENBURG,2017,"914,609",,46,,979,"1,982","16,414","3,275","11,880","1,259",102
,,2018,,,29,,838,"1,910","16,618","2,848","12,345","1,425",74
,DURHAM,2017,"269,088",,12,,428,632,"4,923","1,159","3,397",367,20
,,2018,,,13,,276,469,"4,439","1,104","3,008",327,19
,GREENSBORO,2017,"290,051",,19,,321,635,"4,788",999,"3,436",353,60
,,2018,,,24,,258,554,"4,615",945,"3,335",335,53
,WILMINGTON,2017,"119,422",,11,,92,224,"2,014",459,"1,440",115,4
,,2018,,,4,,59,236,"1,439",377,966,96,4
NORTH DAKOTA,FARGO,2017,"123,430",209,2,47,29,131,"1,823",220,"1,469",134,5
,,2018,,252,2,50,33,167,"1,826",318,"1,361",147,5
OHIO,AKRON,2017,"197,412",674,25,119,193,337,"3,915","1,060","2,479",376,66
,,2018,,746,12,105,169,460,"3,340",796,"2,185",359,27
,CINCINNATI,2017,"299,116","1,389",33,156,601,599,"7,305","1,790","4,806",709,0
,,2018,,"1,118",31,134,414,539,"6,566","1,389","4,502",675,1
,CLEVELAND,2017,"385,351","2,575",44,241,"1,111","1,179","9,114","2,929","4,494","1,691",141
,,2018,,"2,796",39,224,887,"1,646","7,830","2,061","4,266","1,503",77
,COLUMBUS,2017,"872,205","2,270",69,495,937,769,"16,437","3,478","11,109","1,850",5
,,2018,,"2,071",54,390,850,777,"14,786","3,008","9,758","2,020",7
,DAYTON,2017,"140,171",590,16,73,187,314,"2,869",843,"1,754",272,22
,,2018,,656,13,82,206,355,"2,978",810,"1,790",378,10
,TOLEDO6,2017,"277,116","1,259",19,120,282,838,"5,398","1,493","3,531",374,12
,,2018,,"1,013",24,95,227,667,"4,996","1,270","3,402",324,3
OKLAHOMA,BROKEN ARROW,2017,"108,823",67,0,12,18,37,"1,225",201,892,132,0
,,2018,,69,1,30,6,32,"1,140",157,889,94,3
,NORMAN,2017,"124,074",178,4,46,23,105,"1,702",299,"1,274",129,1
,,2018,,148,2,33,23,90,"1,609",255,"1,200",154,4
,OKLAHOMA CITY,2017,"648,260","2,438",33,242,512,"1,651","11,953","2,993","7,631","1,329",45
,,2018,,"2,708",34,264,491,"1,919","12,384","3,050","7,689","1,645",28
,TULSA,2017,"404,868","2,065",37,193,476,"1,359","11,061","2,674","6,596","1,791",72
,,2018,,"1,993",21,192,366,"1,414","10,792","2,359","6,812","1,621",97
OREGON,EUGENE,2017,"168,310",320,2,50,84,184,"3,079",595,"2,239",245,23
,,2018,,317,1,61,93,162,"2,741",405,"2,074",262,21
,GRESHAM,2017,"112,466",204,4,37,46,117,"1,928",225,"1,132",571,9
,,2018,,216,0,33,53,130,"1,902",235,"1,017",650,4
,HILLSBORO,2017,"107,433",135,0,48,26,61,"1,070",126,807,137,13
,,2018,,167,0,38,34,95,"1,028",95,824,109,4
,PORTLAND,2017,"649,408","1,610",9,215,506,880,"18,468","2,264","12,582","3,622",137
,,2018,,"1,684",10,236,525,913,"17,982","2,172","12,409","3,401",132
,SALEM,2017,"169,565",274,3,14,66,191,"3,709",430,"2,810",469,16
,,2018,,379,0,32,94,253,"3,721",403,"2,788",530,22
PENNSYLVANIA,ALLENTOWN,2017,"120,823",295,5,38,132,120,"1,509",286,"1,094",129,7
,,2018,,187,4,25,81,77,"1,336",203,998,135,4
,PHILADELPHIA,2017,"1,575,595","7,357",156,585,"2,878","3,738","22,766","3,130","17,141","2,495",211
,,2018,,"6,956",148,536,"2,481","3,791","23,172","3,036","17,491","2,645",212
RHODE ISLAND,PROVIDENCE,2017,"179,854",442,4,57,128,253,"2,686",448,"1,960",278,9
,,2018,,425,5,57,119,244,"2,807",391,"2,096",320,8
SOUTH CAROLINA,CHARLESTON,2017,"136,845",184,1,31,46,106,"1,471",211,"1,151",109,10
,,2018,,174,4,18,33,119,"1,403",136,"1,106",161,3
SOUTH DAKOTA,SIOUX FALLS,2017,"177,888",385,3,62,42,278,"2,353",335,"1,789",229,24
,,2018,,349,2,49,49,249,"2,357",287,"1,813",257,16
TENNESSEE,CHATTANOOGA,2017,"178,753",930,17,59,161,693,"4,964",711,"3,658",595,6
,,2018,,911,9,74,168,660,"5,210",703,"3,809",698,3
,CLARKSVILLE,2017,"153,294",501,4,47,57,393,"2,089",365,"1,626",98,6
,,2018,,498,12,46,66,374,"2,201",298,"1,745",158,12
,KNOXVILLE,2017,"187,539",845,18,71,198,558,"5,051",802,"3,749",500,7
,,2018,,791,16,68,153,554,"4,444",655,"3,256",533,5
,MEMPHIS,2017,"652,765","6,465",91,300,"1,562","4,512","19,018","4,553","12,609","1,856",188
,,2018,,"6,006",71,230,"1,401","4,304","20,060","4,101","13,709","2,250",135
,MURFREESBORO,2017,"136,102",395,3,38,66,288,"2,105",240,"1,753",112,2
,,2018,,322,4,44,56,218,"2,067",296,"1,640",131,4
,NASHVILLE METROPOLITAN,2017,"681,186","3,892",53,245,"1,031","2,563","12,431","2,017","9,063","1,351",37
,,2018,,"3,639",41,218,939,"2,441","12,569","1,665","9,461","1,443",25
TEXAS,ABILENE,2017,"122,981",330,2,51,70,207,"1,803",410,"1,272",121,10
,,2018,,269,2,50,39,178,"1,865",441,"1,294",130,1
,ALLEN,2017,"101,779",58,1,15,16,26,599,72,498,29,0
,,2018,,60,0,18,11,31,610,64,522,24,0
,AMARILLO,2017,"200,993",704,8,92,114,490,"4,079",783,"2,843",453,26
,,2018,,784,5,103,136,540,"4,164",725,"2,992",447,16
,ARLINGTON,2017,"397,377","1,093",10,157,318,608,"6,234",927,"4,667",640,15
,,2018,,902,4,103,187,608,"5,998",798,"4,581",619,7
,AUSTIN,2017,"971,949","1,995",11,418,485,"1,081","15,779","2,268","12,476","1,035",45
,,2018,,"1,886",18,383,521,964,"15,202","1,929","12,075","1,198",36
,BEAUMONT,2017,"118,456",649,7,45,179,418,"2,661",664,"1,828",169,19
,,2018,,636,5,54,173,404,"2,222",483,"1,528",211,18
,CARROLLTON,2017,"135,823",81,1,19,27,34,"1,143",209,808,126,0
,,2018,,93,2,26,29,36,"1,130",187,826,117,0
,COLLEGE STATION,2017,"115,357",124,0,28,27,69,"1,157",176,928,53,0
,,2018,,114,1,29,15,69,"1,226",134,"1,028",64,0
,CORPUS CHRISTI,2017,"329,256","1,185",10,110,249,816,"5,849","1,016","4,506",327,35
,,2018,,"1,214",14,147,239,814,"5,993","1,083","4,465",445,34
,DALLAS3,2017,"1,338,551","5,114",82,425,"2,085","2,522","21,074","4,944","12,329","3,801",197
,,2018,,"4,825",83,447,"1,753","2,542","22,054","5,543","11,954","4,557",104
,DENTON,2017,"136,836",199,1,65,32,101,"1,480",224,"1,145",111,0
,,2018,,199,2,56,46,95,"1,710",208,"1,377",125,1
,EL PASO,2017,"688,667","1,305",13,205,189,898,"5,914",613,"4,914",387,23
,,2018,,"1,247",6,202,180,859,"5,187",564,"4,249",374,6
,FORT WORTH,2017,"873,069","2,365",39,292,595,"1,439","13,535","2,456","9,719","1,360",75
,,2018,,"2,150",31,243,462,"1,414","12,617","2,267","9,043","1,307",73
,FRISCO,2017,"172,804",81,2,23,14,42,"1,203",177,990,36,2
,,2018,,92,1,26,11,54,"1,201",130,"1,028",43,1
,GARLAND,2017,"236,243",365,4,67,150,144,"3,664",618,"2,647",399,7
,,2018,,333,7,52,119,155,"3,050",542,"2,100",408,10
,GRAND PRAIRIE3,2017,"193,249",274,1,66,78,129,"2,395",332,"1,803",260,5
,,2018,,244,2,45,63,134,"2,109",327,"1,551",231,7
,HOUSTON3,2017,"2,338,235","12,852",128,692,"4,947","7,085","49,532","8,100","35,624","5,808",315
,,2018,,"12,164",135,594,"4,403","7,032","46,190","7,966","32,557","5,667",261
,IRVING,2017,"242,062",286,4,29,113,140,"3,129",520,"2,235",374,16
,,2018,,242,6,32,98,106,"2,827",377,"2,134",316,9
,KILLEEN,2017,"145,912",592,10,80,149,353,"2,086",624,"1,150",312,17
,,2018,,292,3,67,79,143,"1,703",465,"1,119",119,17
,LAREDO,2017,"260,669",440,4,55,100,281,"3,261",412,"2,748",101,27
,,2018,,443,6,77,76,284,"3,170",351,"2,732",87,18
,LEAGUE CITY,2017,"105,351",57,2,15,13,27,930,112,779,39,3
,,2018,,44,1,19,9,15,883,90,723,70,8
,LUBBOCK,2017,"256,335","1,458",3,94,204,"1,157","6,177","1,231","4,258",688,29
,,2018,,"1,266",6,125,225,910,"5,529","1,090","3,808",631,34
,MCALLEN,2017,"144,162",128,4,12,34,78,"1,945",97,"1,825",23,1
,,2018,,57,0,20,14,23,"1,961",97,"1,841",23,2
,MCKINNEY,2017,"179,934",128,1,29,35,63,"1,191",152,953,86,8
,,2018,,153,0,28,46,79,985,117,791,77,7
,MESQUITE,2017,"144,406",304,2,38,112,152,"2,638",428,"1,758",452,3
,,2018,,313,4,29,109,171,"2,646",404,"1,773",469,4
,MIDLAND,2017,"138,954",180,2,17,22,139,"1,203",179,924,100,2
,,2018,,179,3,34,25,117,"1,339",193,"1,002",144,11
,ODESSA,2017,"121,194",445,2,37,55,351,"1,514",257,"1,138",119,3
,,2018,,536,3,48,50,435,"1,453",239,"1,028",186,5
,RICHARDSON,2017,"115,824",99,1,17,50,31,"1,144",204,842,98,0
,,2018,,67,2,5,25,35,"1,224",188,932,104,3
,ROUND ROCK,2017,"124,617",79,1,18,19,41,"1,431",117,"1,282",32,3
,,2018,,79,1,20,13,45,"1,170",156,988,26,2
,SAN ANTONIO,2017,"1,520,712","5,419",61,599,"1,179","3,580","37,568","6,002","27,920","3,646",98
,,2018,,"4,917",59,680,873,"3,305","30,590","4,642","22,993","2,955",88
,WICHITA FALLS,2017,"104,706",185,1,35,55,94,"1,584",360,"1,089",135,0
,,2018,,212,4,58,67,83,"1,523",304,"1,120",99,0
UTAH,PROVO4,2017,"117,540",70,1,27,10,32,,,764,51,1
,,2018,,111,1,39,9,62,,,808,68,2
,SALT LAKE CITY,2017,"194,968",871,2,153,274,442,"7,955",957,"6,082",916,9
,,2018,,715,3,122,202,388,"5,949",817,"4,399",733,13
,WEST JORDAN,2017,"115,390",129,1,16,23,89,"1,786",167,"1,408",211,3
,,2018,,126,0,22,25,79,"1,477",162,"1,158",157,1
,WEST VALLEY,2017,"137,762",424,5,93,86,240,"2,985",414,"1,925",646,10
,,2018,,477,9,86,79,303,"2,430",409,"1,603",418,9
VIRGINIA,ALEXANDRIA,2017,"158,256",124,1,10,49,64,"1,193",82,990,121,1
,,2018,,95,1,10,23,61,955,50,790,115,3
,CHESAPEAKE,2017,"240,119",456,7,43,96,310,"2,593",321,"2,167",105,8
,,2018,,501,1,48,72,380,"2,353",330,"1,888",135,5
,NEWPORT NEWS ,2017,"181,738",430,9,48,114,259,"2,548",410,"1,923",215,19
,,2018,,440,16,46,100,278,"2,559",412,"1,924",223,17
,NORFOLK,2017,"245,190",683,17,66,189,411,"4,384",594,"3,492",298,6
,,2018,,548,18,61,142,327,"3,940",317,"3,253",370,9
,RICHMOND5,2017,"226,236",,,,,,,,,,
,,2018,,559,26,27,194,312,"4,125",475,"3,073",577,23
,ROANOKE,2017,"100,027",201,8,22,30,141,"2,121",214,"1,768",139,7
,,2018,,212,4,28,54,126,"1,999",253,"1,597",149,10
,VIRGINIA BEACH,2017,"454,353",340,11,64,142,123,"4,189",384,"3,608",197,28
,,2018,,274,3,36,88,147,"3,584",297,"3,042",245,14
WASHINGTON,BELLEVUE,2017,"143,703",75,0,13,28,34,"2,235",316,"1,770",149,8
,,2018,,91,0,12,33,46,"2,211",244,"1,799",168,8
,EVERETT,2017,"110,040",268,3,27,75,163,"2,499",435,"1,626",438,7
,,2018,,180,1,23,49,107,"2,390",340,"1,526",524,6
,KENT,2017,"128,990",230,3,37,85,105,"3,404",411,"2,349",644,12
,,2018,,232,3,41,102,86,"3,057",409,"2,115",533,7
,RENTON,2017,"102,470",173,3,18,56,96,"2,648",328,"1,917",403,6
,,2018,,159,2,18,65,74,"2,447",272,"1,730",445,3
,SEATTLE,2017,"721,365","2,200",8,148,746,"1,298","18,686","3,837","13,179","1,670",78
,,2018,,"2,341",13,147,776,"1,405","19,062","4,090","13,080","1,892",56
,SPOKANE,2017,"217,066",789,3,140,146,500,"7,902","1,156","5,817",929,13
,,2018,,791,4,179,105,503,"7,371",958,"5,616",797,19
,TACOMA,2017,"213,504",770,4,75,183,508,"5,955","1,052","3,819","1,084",32
,,2018,,950,7,84,257,602,"5,641",963,"3,674","1,004",46
,VANCOUVER,2017,"176,884",295,6,62,60,167,"2,656",365,"1,770",521,24
,,2018,,402,2,87,70,243,"2,876",393,"1,981",502,20
WISCONSIN,GREEN BAY,2017,"105,331",211,0,39,25,147,920,139,751,30,7
,,2018,,243,1,40,25,177,810,106,657,47,3
,MADISON,2017,"255,850",477,7,39,110,321,"3,243",433,"2,651",159,5
,,2018,,516,3,55,93,365,"2,913",412,"2,260",241,5
